Number of leaf symbols,States in tree automata,Standard time,Standard membership queries,Standard equivalence queries,Standard automata found states number,Advice time,Advice membership queries,Advice equivalence queries,Advice automata found states number
2,2,0,8,1,2,0,8,1,2
2,2,0,8,1,2,0,8,1,2
2,2,0,8,1,2,0,8,1,2
2,2,0,8,1,2,0,8,1,2
2,2,0,8,1,2,0,8,1,2
2,2,0,8,1,2,0,8,1,2
2,2,0,8,1,2,0,8,1,2
2,2,0,8,1,2,0,8,1,2
2,2,0,8,1,2,0,8,1,2
2,2,0,8,1,2,0,8,1,2
2,2,0,8,1,2,0,8,1,2
2,2,0,8,1,2,0,8,1,2
2,2,0,8,1,2,0,8,1,2
2,2,0,8,1,2,0,8,1,2
2,2,0,8,1,2,0,8,1,2
2,2,0,8,1,2,0,8,1,2
2,2,0,8,1,2,0,8,1,2
2,2,0,8,1,2,0,8,1,2
2,2,0,8,1,2,0,8,1,2
2,2,0,8,1,2,0,8,1,2
2,2,0,8,1,2,0,8,1,2
2,2,0,8,1,2,0,8,1,2
2,2,0,8,1,2,0,8,1,2
2,2,0,8,1,2,0,8,1,2
2,2,0,8,1,2,0,8,1,2
2,2,0,8,1,2,0,8,1,2
2,2,0,8,1,2,0,8,1,2
2,2,0,8,1,2,0,8,1,2
2,2,0,8,1,2,0,8,1,2
2,2,0,8,1,2,0,8,1,2
2,2,0,8,1,2,0,8,1,2
2,2,0,8,1,2,0,8,1,2
2,2,0,8,1,2,0,8,1,2
2,2,0,8,1,2,0,8,1,2
2,2,0,8,1,2,0,8,1,2
2,2,0,8,1,2,0,8,1,2
2,2,0,8,1,2,0,8,1,2
2,2,0,8,1,2,0,8,1,2
2,2,0,8,1,2,0,8,1,2
2,2,0,8,1,2,0,8,1,2
2,2,0,8,1,2,0,8,1,2
2,2,0,8,1,2,0,8,1,2
2,2,0,8,1,2,0,8,1,2
2,2,0,8,1,2,0,8,1,2
2,2,0,8,1,2,0,8,1,2
2,2,0,8,1,2,0,8,1,2
2,2,0,8,1,2,0,8,1,2
2,2,0,8,1,2,0,8,1,2
2,2,0,8,1,2,0,8,1,2
2,2,0,8,1,2,0,8,1,2
2,2,0,8,1,2,0,8,1,2
2,2,0,8,1,2,0,8,1,2
2,2,0,8,1,2,0,8,1,2
2,2,0,8,1,2,0,8,1,2
2,2,0,8,1,2,0,8,1,2
2,2,0,8,1,2,0,8,1,2
2,2,0,8,1,2,0,8,1,2
2,2,0,8,1,2,0,8,1,2
2,2,0,8,1,2,0,8,1,2
2,2,0,8,1,2,0,8,1,2
2,2,0,8,1,2,0,8,1,2
2,2,0,8,1,2,0,8,1,2
2,2,0,8,1,2,0,8,1,2
2,2,0,8,1,2,0,8,1,2
2,2,0,8,1,2,0,8,1,2
2,2,0,8,1,2,0,8,1,2
2,2,0,8,1,2,0,8,1,2
2,2,0,8,1,2,0,8,1,2
2,2,0,8,1,2,0,8,1,2
2,2,0,8,1,2,0,8,1,2
2,2,0,8,1,2,0,8,1,2
2,2,0,8,1,2,0,8,1,2
2,2,0,8,1,2,0,8,1,2
2,2,0,8,1,2,0,8,1,2
2,2,0,8,1,2,0,8,1,2
2,2,0,8,1,2,0,8,1,2
2,2,0,8,1,2,0,8,1,2
2,2,0,8,1,2,0,8,1,2
2,2,0,8,1,2,0,8,1,2
2,2,0,8,1,2,0,8,1,2
2,2,0,8,1,2,0,8,1,2
2,2,0,8,1,2,0,8,1,2
2,2,0,8,1,2,0,8,1,2
2,2,0,8,1,2,0,8,1,2
2,2,0,8,1,2,0,8,1,2
2,2,0,8,1,2,0,8,1,2
2,2,0,8,1,2,0,8,1,2
2,2,0,8,1,2,0,8,1,2
2,2,0,8,1,2,0,8,1,2
2,2,0,8,1,2,0,8,1,2
2,2,0,8,1,2,0,8,1,2
