Number of leaf symbols,States in tree automata,Standard time,Standard membership queries,Standard equivalence queries,Standard automata found states number,Advice time,Advice membership queries,Advice equivalence queries,Advice automata found states number
2,3,0,6,1,3,0,6,1,3
2,3,0,6,1,3,0,6,1,3
2,3,0,6,1,3,0,6,1,3
2,3,0,6,1,3,0,6,1,3
2,3,0,6,1,3,0,6,1,3
2,3,0,6,1,3,0,6,1,3
2,3,0,6,1,3,0,6,1,3
2,3,0,6,1,3,0,6,1,3
2,3,0,6,1,3,0,6,1,3
2,3,0,6,1,3,0,6,1,3
2,4,0,6,1,4,0,6,1,4
2,4,0,6,1,4,0,6,1,4
2,4,0,6,1,4,0,6,1,4
2,4,0,6,1,4,0,6,1,4
2,4,0,6,1,4,0,6,1,4
2,4,0,6,1,4,0,6,1,4
2,4,0,6,1,4,0,6,1,4
2,4,0,6,1,4,0,6,1,4
2,4,0,6,1,4,0,6,1,4
2,4,0,6,1,4,0,6,1,4
2,5,0,323,4,5,0,323,4,5
2,5,0,323,4,5,0,323,4,5
2,5,0,323,4,5,0,323,4,5
2,5,0,345,4,5,0,345,4,5
2,5,0,345,4,5,0,345,4,5
2,5,0,345,4,5,0,345,4,5
2,5,0,345,4,5,0,345,4,5
2,5,0,345,4,5,0,345,4,5
2,5,0,345,4,5,0,345,4,5
2,5,0,345,4,5,0,345,4,5
2,6,0,565,5,6,0,565,5,6
2,6,0,565,5,6,0,565,5,6
2,6,0,565,5,6,0,565,5,6
2,6,0,565,5,6,0,565,5,6
2,6,0,915,6,6,0,915,6,6
2,6,0,915,6,6,0,915,6,6
2,6,0,915,6,6,0,915,6,6
2,6,0,915,6,6,0,915,6,6
