Number of leaf symbols,States in word automata,States in tree automata,Standard equivalence queries,Standard time,Advice equivalence queries,Advice time,Approximate time,Approximate tokens,Approximate is_found,Approximate advice time,Approximate advice tokens,Approximate advice is_found,Approximate random check time,Approximate random check tokens,Approximate random check is_found,Approximate counting heuristic time,Approximate counting heuristic tokens,Approximate counting heuristic is_found
4,4,82,12,1,1,1,4,2430287,1,4,2420689,1,4,3157642,1,4,2420689,1
3,5,25,8,0,3,0,3,75620,1,3,20638,1,3,19988,1,3,20638,1
4,4,39,13,0,3,0,3,578846,1,3,532602,1,3,816290,1,3,1415563,1
3,7,73,1,0,1,0,3,13,1,3,13,1,3,13,1,3,13,1
2,7,86,1,0,1,0,4,4,1,4,4,1,4,4,1,4,4,1
3,4,30,10,0,2,0,3,285082,1,3,135762,1,3,449822,1,3,135761,1
4,3,27,6,0,2,0,3,92709,1,3,96874,1,2,94937,1,2,52468,1
3,4,20,10,0,1,0,3,59229,1,3,87512,1,3,59674,1,3,87512,1
2,6,48,2,0,1,0,4,90,1,4,94,1,4,92,1,4,94,1
3,5,73,14,0,4,1,4,2167721,1,5,4089502,1,5,3227524,1,0,132770,0
2,4,24,1,0,1,0,4,4,1,4,4,1,4,4,1,4,4,1
3,3,24,6,0,2,0,3,75498,1,3,45301,1,3,46549,1,3,44414,1
2,3,24,6,0,1,0,4,181448,1,4,48426,1,4,75820,1,4,48426,1
2,4,28,7,0,3,0,5,13779,1,4,37252,1,4,32240,1,4,10190,1
4,4,116,12,3,2,6,5,4381943,1,10,11483082,1,8,10589545,1,7,5651501,1
3,3,24,6,0,1,0,3,50201,1,3,57322,1,3,93279,1,3,57322,1
2,4,24,12,0,4,0,4,150754,1,4,115701,1,4,180354,1,4,88923,1
3,6,32,11,0,4,0,0,7549,0,3,213925,1,3,114010,1,3,145096,1
3,3,27,6,0,2,0,3,55278,1,3,58904,1,3,111564,1,3,87019,1
4,5,50,13,0,2,0,3,922871,1,3,1035532,1,3,1014630,1,3,1035532,1
4,5,190,16,20,1,37,22,18839963,1,39,48268488,1,36,58274728,1,36,48414287,1
4,4,110,14,3,3,3,6,4607326,1,6,3703710,1,9,13583743,1,6,4153186,1
4,4,67,12,0,1,1,3,1266737,1,4,2236796,1,3,1538188,1,4,2257257,1
4,3,27,7,0,4,0,3,67658,1,2,65040,1,2,122072,1,2,61340,1
4,3,24,7,0,4,0,3,38670,1,2,46187,1,2,48699,1,3,62945,1
3,6,113,27,7,4,18,11,14247358,1,0,426,0,0,805,0,12,17541566,1
2,8,167,37,34,3,74,31,57795083,0,79,130460384,1,119,223105249,1,86,151880636,1
3,5,102,20,3,1,10,11,13866436,0,13,20445869,1,20,34241447,1,13,20445892,1
