Number of leaf symbols,States in tree automata,Standard equivalence queries,Standard time,Advice equivalence queries,Advice time,Approximate time,Approximate tokens,Approximate is_found,Approximate advice time,Approximate advice tokens,Approximate advice is_found,Approximate random check time,Approximate random check tokens,Approximate random check is_found,Approximate counting heuristic time,Approximate counting heuristic tokens,Approximate counting heuristic is_found
3,24,14,0,4,0,4,90287,1,4,127822,1,4,198155,1,4,89634,1
3,15,9,0,3,0,0,32248,0,4,21535,1,4,22224,1,4,18715,1
3,7,6,0,6,0,0,26126,0,4,3225,1,4,3849,1,4,3242,1
3,27,19,0,3,0,4,361408,1,5,339520,1,4,313532,1,4,842376,1
3,27,15,0,5,0,4,280810,1,4,268930,1,4,353483,1,4,680789,1
3,9,8,0,8,0,4,15563,1,4,8489,1,4,7560,1,4,13414,1
3,5,5,0,4,0,4,1160,1,4,1905,1,4,1584,1,4,1242,1
3,21,10,0,2,0,5,66192,1,4,71860,1,4,51203,1,4,71862,1
3,21,14,0,3,0,7,81764,1,4,80282,1,0,12274,0,4,80282,1
3,21,11,0,3,0,5,206309,1,4,127823,1,4,249383,1,4,67544,1
4,68,33,3,4,3,6,4190155,1,10,15647637,1,9,13837217,1,7,9816720,1
3,7,6,0,6,0,4,4247,1,4,3216,1,4,7631,1,4,3459,1
3,24,13,0,13,0,4,223379,1,4,185103,1,4,192547,1,4,273416,1
4,39,24,0,3,0,3,606302,1,3,768390,1,3,794037,1,3,1064517,1
3,17,9,0,9,0,4,56798,1,5,81901,1,4,46428,1,4,75755,1
3,6,5,0,3,0,4,2731,1,4,2023,1,4,1529,1,4,1388,1
4,172,48,82,6,62,40,51836019,0,40,65202930,1,82,152931150,1,45,56930220,1
3,15,9,0,3,0,0,14290,0,4,66441,1,4,38120,1,4,26853,1
3,15,9,0,9,0,0,340,0,0,162,0,0,99,0,0,162,0
3,15,9,0,9,0,4,65103,1,0,154,0,0,99,0,4,56640,1
3,21,11,0,3,0,4,80596,1,4,125294,1,4,98878,1,4,117962,1
3,15,10,0,6,0,4,43269,1,3,41486,1,3,38770,1,4,58515,1
3,27,15,0,3,0,4,220982,1,4,265514,1,4,265572,1,4,219127,1
3,24,14,0,2,0,4,145789,1,4,135585,1,4,181504,1,4,148138,1
3,27,17,0,5,0,4,274208,1,4,222090,1,4,294629,1,4,222420,1
3,27,11,0,4,0,0,12441,0,4,65414,1,4,112890,1,4,207841,1
3,13,9,0,3,0,4,16747,1,4,20264,1,4,16895,1,0,10628,0
4,92,29,5,4,4,8,7458716,1,7,7551261,1,11,16190535,1,8,8662404,1
4,60,24,1,4,1,5,2475958,1,5,3651812,1,0,2721,0,5,3494455,1
3,21,15,0,4,0,4,131305,1,4,100697,1,4,166943,1,4,199979,1
3,27,11,0,4,0,0,7758,0,4,175476,1,4,491503,1,0,1393,0
4,76,24,2,3,1,5,2636776,1,7,9369767,1,5,2851392,1,5,2812959,1
3,27,18,0,6,0,5,173818,1,4,351556,1,5,204480,1,5,403757,1
3,27,12,0,2,0,4,139700,1,4,682832,1,0,471754,0,4,580329,1
4,100,42,8,42,8,9,9500915,0,0,1464,0,7,8296481,0,16,12539242,0
